"ID","CN","CAPT","SRC","OUTERID","SCORE"
"74d660dd-d0ee-4ea8-a9c3-e0b9ab6eea3d","Ethiopia","Addis Ababa","GN","d94ebebb-7873-482e-a1cc-0d7648de2f32","10.804352"
"d8dbd874-2b57-4495-b26d-07a62a13c2c2","Finland","Helsinki","GN","dad4f95c-b86e-4c1c-9bec-a95edc669588","9.850367"
"36c85440-34d2-43cc-8e0f-2eb66a536076","Fiji","Suva","GN","94f539de-b978-4b5e-bde0-877edb8718f0","9.742651"
"f6e683b6-3e6f-4d07-b600-d525c312aa9b","Falkland Islands","Stanley","GN",,
"433ed108-e70b-4050-b4c0-1a0e9dba01d4","Micronesia","Palikir","GN","b04cdc9a-6f31-46a3-83a4-53d14c825137","7.423073"
"0721fab5-219a-4b3e-aec6-2ad4a9717732","Faroe Islands","Torshavn","GN","982ebc39-f8c1-4f24-8f2d-8d998c94208b","11.577435"
"0b45cbd9-0166-4883-afbc-6929bf17a06b","France","Paris","GN","c076b60b-1cd3-428f-a257-749e0a49b95b","9.815064"
"92874a1a-1821-4064-a8e2-a424b5dd874d","Gabon","Libreville","GN","d0c524a3-8d3d-4784-98dd-3fbc15e9281a","9.815064"
"378b9d35-7309-4b09-bce1-f5efdc79a383","United Kingdom","London","GN","21384c6e-b74a-415d-928e-06b2b48a7c4d","10.054983"
"02c9880c-c024-425d-a353-ead89378ae72","Grenada","St. George's","GN","09ea5102-0d77-4900-9e47-d5210b413c73","7.13265"
"cdafbf73-a601-414e-a76b-784c999a302c","Georgia","Tbilisi","GN","ce0860e7-8cfd-440f-8797-3c349d1193aa","8.636415"
"71cbe246-e73b-4c71-ace9-7d1bd2d92240","French Guiana","Cayenne","GN",,
"0e5c0a9f-7ab4-49c0-a58e-edfdcd2dbcac","Guernsey","St Peter Port","GN",,
"29268621-47bc-4949-8ab8-3c784723981b","Ghana","Accra","GN","f2e81338-870c-42e0-ac79-a221fa2bf5ab","8.53639"
"059ff527-dcb4-4e09-8dbb-7cc59d323181","Gibraltar","Gibraltar","GN",,
"efbf7b38-7be5-4112-b828-7bb699e128a8","Greenland","Nuuk","GN","3b9d018b-b251-45e7-8321-7a0e63b3cfa2","8.636415"
"fb505c7a-825e-4bf8-8145-8eb096d1eb21","The Gambia","Banjul","GN","8d33f5d9-1a7e-43e4-8c89-3ad729936cbf","11.051285"
"676b982e-c145-4804-bd84-3e85a1f507c1","Guinea","Conakry","GN","81376713-a5a9-4f16-bb4e-738fcb202b77","9.713965"
"8497598f-6357-4960-ba89-1924ef86ba68","Guadeloupe","Basse-Terre","GN",,
"af5a552f-8e67-42bb-8337-ad7e1dd7b0d3","Equatorial Guinea","Malabo","GN","48ee19ad-d6b1-4e6e-9373-ce4afe386c4f","11.297745"
"8cfae5ce-1c37-44b6-9b43-85b751267022","Greece","Athens","GN","c32fc676-f303-42b9-b499-7e418ea0d89a","9.713965"
"08e5af9b-6dc5-4c82-a97c-f3981d4883f4","South Georgia and South Sandwich Islands","Grytviken","GN",,
"bc9168dc-b220-4f32-85ea-6d439bfd2ea6","Guatemala","Guatemala City","GN","1ff8fead-3199-4940-81a1-9c3bb91bccd3","10.692823"
"a9d4e339-509d-41d4-a6c5-d4494ffacc51","Guam","Hagatna","GN","d89c1406-576c-4a92-959a-2baffc4f9d83","7.3523016"
"ddb6908e-b03c-4ff5-96b3-4ae4cc117b88","Guinea-Bissau","Bissau","GN","4ace6864-35b9-4e14-aa9a-d80d334408b4","11.393618"
"68b771a0-cc61-4c7e-97a1-ccdde3b44db3","Guyana","Georgetown","GN","7d956e9e-8cc0-4d36-8962-0e4782444f36","9.850367"
"608f968a-cccd-4e79-9545-4192c28a5f8c","Hong Kong","Hong Kong","GN",,
"cc7b70f6-1b2e-4d53-9e0d-21d5aab61f0c","Heard and McDonald Islands",,"GN",,
"b6a6a5c9-bcdd-46c6-ac41-93a8106fa8ce","Honduras","Tegucigalpa","GN","8ed539c2-a2c1-439b-8473-1cb9ea2ff67b","9.8091545"
"b419bdab-6c37-4897-99d4-9255d723b676","Croatia","Zagreb","GN","b08b3940-747a-42f6-8b8c-f5d396c66097","9.850367"
"3f52afe3-2d5e-4f8e-bf4d-ca191cad12f7","Haiti","Port-au-Prince","GN","6387b599-24ae-45f8-8639-78a55a9a97eb","11.236521"
"0686c16e-2c5f-470c-a46e-80ed47340083","Hungary","Budapest","GN","5e7ee3bb-10f8-4031-8bce-6554a1ae3a1d","9.8091545"
"cf9a0021-3b08-44a6-98b6-d4eb5f61c0de","Indonesia","Jakarta","GN","949d7dd3-62b1-4bf8-a795-8f7b7b9eddf7","9.850367"
"3b9b421b-d704-4902-bbbc-e12dab9cb17d","Ireland","Dublin","GN","39a3effc-2b0b-4906-856d-69fa5f5077ed","9.713965"
"c9d86d89-32bf-4de5-9987-3ed4b2636cb9","Israel","Jerusalem","GN",,
"7d88b1d8-7ce0-4494-bea6-6090b6fc3841","Isle of Man","Douglas","GN","54bb44d2-f265-4b8a-bea3-416abe7c39ee","11.98574"
"a219e934-dc35-440c-86b4-b42e3b99c35e","India","New Delhi","GN","d343053d-f6c0-4906-a633-bd82605a84af","10.804352"
"6e08bab6-6c8f-428c-975e-50b5860f9321","British Indian Ocean Territory","Diego Garcia","GN",,
"a1c756bc-bac6-4e32-aa29-a12f932b9397","Iraq","Baghdad","GN","e32dd56f-1e54-4d41-8449-89aa39bc7c50","9.815064"
"687c746a-ec70-406e-a956-b18e61d73fb9","Iran","Tehran","GN","f53cd91d-63e4-480b-af47-2b7c941d081f","7.359382"
"188ea569-272a-45f6-a8ec-15a0ca3712fd","Iceland","Reykjavik","GN","47787fc8-d07f-4c15-82b9-49794031988f","8.662884"
"f4201294-e4b3-4162-b5d3-cc1e88cb1117","Italy","Rome","GN","f0096b6d-5cc9-4035-ad9e-9c4f22a2110d","9.8091545"
"bd7e6f62-549b-46da-9731-50dd5b12f848","Jersey","Saint Helier","GN",,
"655daf78-0a0a-45f3-b6be-781072f9f98f","Jamaica","Kingston","GN","6894c40b-5c42-4854-b256-d2d8bb70e35f","9.305065"
"63754195-aab9-47f6-8df3-9bf37615fe04","Jordan","Amman","GN","dc1d9400-e825-43ce-acd5-f2ebe2a10534","9.8091545"
"11ff3ee7-0f53-4add-9882-6608d5bd0017","Japan","Tokyo","GN","484962aa-5c8c-4f68-b571-91d5b67c8f2b","9.850367"
"6fea5711-d095-41b1-85d5-3e0e905a2711","Kenya","Nairobi","GN","10eca445-9fde-474f-ab37-77159d5fc676","9.742651"
"ea863d7d-30db-4a78-87c1-86437076a2c7","Kyrgyzstan","Bishkek","GN",,
"0206b51a-1e43-4a74-b979-4e87031a83a6","Cambodia","Phnom Penh","GN","7e262b41-7535-4bb2-9fdd-4ae5e7f2dc23","11.034852"
"d5dc3073-f833-4169-a986-ad8e43753dd9","Kiribati","Tarawa","GN","26bcbff7-d834-4b8a-96de-b7b030a11209","8.634249"
"2e34127d-8c93-4e8a-8eb9-cd5dbe48ee45","Comoros","Moroni","GN","f005d914-78d1-4c74-8461-a6ed8a548d0c","9.850367"
"2f9dfe94-7e3e-44f9-a81a-d314081ec90b","St Kitts and Nevis","Basseterre","GN","40e2e60a-96e7-48ff-952a-fac663a78563","14.601131"
"f4fdfe51-a8b2-453b-9fa5-e27777d0c9d8","North Korea","Pyongyang","GN","ed1be6ae-3571-4703-848c-afb25d37596d","7.1217413"
